City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Syamzha,RU,60.02,41.06,39.74,85,100,6.98,overcast clouds
126,Lewistown,US,40.6,-77.57,43.0,87,90,6.93,overcast clouds
127,Esperance,AU,-33.87,121.9,59.0,67,85,11.41,overcast clouds
128,Nanortalik,GL,60.14,-45.24,29.71,92,99,4.63,overcast clouds
129,Atuona,PF,-9.8,-139.03,77.29,73,23,13.91,few clouds
130,Severobaykalsk,RU,55.65,109.32,23.63,86,30,7.74,scattered clouds
131,Barrow,US,71.29,-156.79,28.4,74,75,20.8,light snow
132,Tuktoyaktuk,CA,69.45,-133.04,4.91,94,64,7.61,broken clouds
133,San Cristobal,VE,7.77,-72.22,80.6,83,75,2.24,broken clouds
134,Port Hardy,CA,50.7,-127.42,46.92,77,62,9.13,broken clouds
135,Beyneu,KZ,45.32,55.2,52.63,43,100,22.95,overcast clouds
136,Slave Lake,CA,55.28,-114.77,29.97,97,100,13.38,overcast clouds
137,Namibe,AO,-15.2,12.15,74.64,72,5,12.73,clear sky
138,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,37.4,100,75,6.71,broken clouds
139,Manaure,CO,11.78,-72.44,86.04,65,97,2.89,overcast clouds
140,Yulara,AU,-25.24,130.99,66.2,22,80,6.93,broken clouds
141,Dikson,RU,73.51,80.55,11.52,95,100,28.61,overcast clouds
142,New Norfolk,AU,-42.78,147.06,46.0,63,5,1.97,clear sky
143,Ahipara,NZ,-35.17,173.17,62.17,91,100,8.81,light rain
144,Barra Do Garcas,BR,-15.89,-52.26,95.88,42,99,1.52,overcast clouds
145,Kavieng,PG,-2.57,150.8,81.86,76,72,5.08,broken clouds
146,Pacific Grove,US,36.62,-121.92,48.2,100,90,3.36,fog
147,Podgornoye,RU,51.73,39.15,46.4,93,90,4.47,moderate rain
148,Kupang,ID,-10.17,123.58,80.92,76,64,6.69,broken clouds
149,Ponta Do Sol,PT,32.67,-17.1,75.2,64,20,19.46,few clouds
150,Vardo,NO,70.37,31.11,33.8,69,40,14.99,shower rain
151,Bandarbeyla,SO,9.49,50.81,80.01,80,60,15.08,broken clouds
152,Abu Dhabi,AE,24.47,54.37,84.2,58,0,6.93,clear sky
153,Jacareacanga,BR,-6.22,-57.75,77.0,94,90,3.36,heavy intensity rain
154,Balabac,PH,7.99,117.06,82.15,81,99,12.17,overcast clouds
155,Asau,RO,46.43,26.4,46.0,97,100,1.79,light rain
156,Ancud,CL,-41.87,-73.82,55.0,76,0,13.87,clear sky
157,Labuhan,ID,-6.88,112.21,81.7,78,100,5.48,light rain
158,Yar-Sale,RU,66.83,70.83,29.89,98,86,9.64,overcast clouds
159,Graaff-Reinet,ZA,-32.25,24.53,66.99,48,54,7.0,broken clouds
160,Koungou,YT,-12.73,45.2,82.4,69,90,6.93,overcast clouds
161,Vila Velha,BR,-20.33,-40.29,84.2,70,75,12.75,broken clouds
162,Vitre,FR,48.12,-1.21,61.0,77,90,6.93,overcast clouds
163,Provideniya,RU,64.38,-173.3,24.46,91,95,5.57,overcast clouds
164,Jackson,US,42.42,-122.83,39.2,64,1,1.45,clear sky
165,Opuwo,NA,-18.06,13.84,86.41,30,72,8.66,light rain
166,Sorland,NO,67.67,12.69,41.0,60,0,24.16,clear sky
167,Siddapur,IN,14.33,74.88,70.95,88,80,2.68,broken clouds
168,Norman Wells,CA,65.28,-126.83,7.74,93,95,4.41,overcast clouds
169,Lockhart,US,28.62,-81.44,72.0,56,1,8.05,clear sky
170,Dehui,CN,44.53,125.7,41.0,38,0,11.18,clear sky
171,Guerrero Negro,MX,27.98,-114.06,67.71,56,41,2.39,scattered clouds
172,Lavrentiya,RU,65.58,-171.0,21.6,87,96,7.78,overcast clouds
173,Hami,CN,42.8,93.45,38.25,61,0,1.79,clear sky
174,Guilin,CN,25.28,110.29,69.8,64,75,11.18,broken clouds
175,Acapulco,MX,16.86,-99.89,80.6,83,75,8.05,broken clouds
176,Arcachon,FR,44.59,-1.05,70.0,60,0,4.7,clear sky
177,Faanui,PF,-16.48,-151.75,78.71,81,0,9.78,light rain
178,Vao,NC,-22.67,167.48,73.35,84,39,11.99,scattered clouds
179,Katobu,ID,-4.94,122.53,77.41,84,41,1.36,scattered clouds
180,Qaanaaq,GL,77.48,-69.36,15.44,81,100,5.35,overcast clouds
181,Rotifunk,SL,8.23,-12.68,91.89,48,62,4.38,broken clouds
182,Bathsheba,BB,13.22,-59.52,84.2,74,75,27.51,shower rain
183,Karpogory,RU,64.0,44.45,43.72,86,100,6.2,light rain
184,Pimentel,PE,-6.84,-79.93,62.6,88,90,4.7,mist
185,Port Blair,IN,11.67,92.75,81.12,82,80,9.33,broken clouds
186,Aklavik,CA,68.22,-135.01,3.65,91,71,9.86,broken clouds
187,Coos Bay,US,43.37,-124.22,48.2,100,75,11.41,broken clouds
188,Gazanjyk,TM,39.24,55.52,58.3,26,0,13.51,clear sky
189,Kiruna,SE,67.86,20.23,17.6,85,0,6.93,clear sky
190,Grindavik,IS,63.84,-22.43,42.8,81,75,16.11,shower rain
191,Illapel,CL,-31.63,-71.17,78.44,25,0,7.31,clear sky
192,Thompson,CA,55.74,-97.86,12.49,93,0,3.96,clear sky
193,Saskylakh,RU,71.92,114.08,-1.52,86,50,6.91,scattered clouds
194,Salinopolis,BR,-0.61,-47.36,85.68,64,100,14.61,overcast clouds
195,Clyde River,CA,70.47,-68.59,18.5,93,99,6.29,overcast clouds
196,Kurmanayevka,RU,52.51,52.07,41.27,69,58,9.19,broken clouds
197,San Antonio,US,29.42,-98.49,53.01,62,1,8.05,clear sky
198,Sawtell,AU,-30.38,153.1,71.6,88,90,8.05,light rain
199,Newport,GB,51.59,-3.0,59.0,98,100,1.99,overcast clouds
200,Barcelos,PT,41.54,-8.62,69.01,72,0,3.36,clear sky
201,Hasaki,JP,35.73,140.83,46.4,75,20,8.05,few clouds
202,Seoul,KR,37.57,126.98,44.6,70,1,3.24,clear sky
203,Susanville,US,40.42,-120.65,40.75,55,0,3.29,clear sky
204,Quelimane,MZ,-17.88,36.89,86.0,66,20,13.87,few clouds
205,Raymondville,US,26.48,-97.78,60.01,71,75,11.41,broken clouds
206,Hargeysa,SO,9.56,44.06,71.56,76,74,17.36,moderate rain
207,Xiongzhou,CN,25.12,114.3,63.05,80,0,1.45,clear sky
208,Nantucket,US,41.28,-70.1,46.99,93,90,25.28,moderate rain
209,Bayan,CN,46.08,127.4,44.01,37,96,4.97,overcast clouds
210,Hervey Bay,AU,-25.3,152.85,75.99,83,0,7.0,clear sky
211,Rotenburg,DE,53.12,9.4,57.0,67,100,8.01,overcast clouds
212,Sumenep,ID,-7.02,113.87,82.74,74,99,4.76,overcast clouds
213,Gunjur,GM,13.2,-16.73,93.2,56,0,2.24,clear sky
214,Buchanan,LR,5.88,-10.05,91.4,66,75,8.05,broken clouds
215,Ixtlan,MX,20.18,-102.4,63.14,64,43,5.84,scattered clouds
216,Mizdah,LY,31.45,12.98,70.52,46,2,13.96,clear sky
217,Kieta,PG,-6.22,155.63,76.87,83,100,3.15,light rain
218,Vanimo,PG,-2.67,141.3,77.4,82,100,4.21,overcast clouds
219,Kikwit,CD,-5.04,18.82,81.12,76,88,0.4,light rain
220,Henties Bay,NA,-22.12,14.28,62.01,76,1,13.94,clear sky
221,Leningradskiy,RU,69.38,178.42,16.9,93,52,19.35,broken clouds
222,San Carlos De Bariloche,AR,-41.15,-71.31,62.6,23,0,3.36,clear sky
223,Mahon,ES,39.89,4.27,69.8,64,20,9.17,few clouds
224,Cao Bang,VN,22.67,106.25,67.59,88,100,0.27,overcast clouds
225,Kruisfontein,ZA,-34.0,24.73,62.01,61,40,3.0,scattered clouds
226,Sabha,LY,27.04,14.43,75.07,32,0,13.78,clear sky
227,Wilmington,US,34.23,-77.94,70.0,56,1,16.11,clear sky
228,Thinadhoo,MV,0.53,72.93,83.5,74,51,11.01,broken clouds
229,Northam,GB,51.03,-4.22,57.99,99,100,4.0,overcast clouds
230,Garowe,SO,8.41,48.48,88.3,38,11,0.43,few clouds
231,Sioux Lookout,CA,50.1,-91.92,23.65,93,0,6.42,clear sky
232,Rong Kwang,TH,18.34,100.32,72.54,92,41,2.35,scattered clouds
233,Pavlysh,UA,48.92,33.36,51.21,74,86,5.5,overcast clouds
234,Zyryanka,RU,65.75,150.85,-2.13,93,17,2.68,few clouds
235,Yarada,IN,17.65,83.27,82.08,59,56,3.91,broken clouds
