City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Concarneau,FR,60.8,overcast clouds,47.88,-3.92,Hôtel de L' Océan
308,Mar Del Plata,AR,62.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
309,Mendi,PG,53.17,overcast clouds,-6.18,143.65,Kiburu Lodge
312,Niort,FR,63.0,clear sky,46.33,-0.33,Hôtel Première Classe Niort La Crèche
313,Goedereede,NL,60.01,broken clouds,51.82,3.98,Hotel-Pension Ouddorp
323,Forst,DE,55.0,overcast clouds,51.73,14.63,Hotel Haufe
326,Butte,US,54.0,clear sky,39.65,-121.57,Meadowbrook Oak's RV and Mobile Home Park
327,Auburn,US,54.0,broken clouds,47.31,-122.23,La Quinta Inn & Suites by Wyndham Auburn
343,Devonport,AU,53.01,broken clouds,-41.17,146.35,Gateway Hotel by Nightcap Plus
347,Shambu,ET,55.78,light rain,9.57,37.1,Wabe Hotel
350,Tres Arroyos,AR,66.38,few clouds,-38.37,-60.28,Habitacion Triple con baño y entrada privada
356,Bereda,ES,69.01,clear sky,43.27,-7.54,Pazo de Verdes
363,Grand Gaube,MU,70.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
370,Havelock,US,70.0,broken clouds,34.88,-76.9,Sherwood Motel
377,Celendin,PE,53.6,overcast clouds,-6.87,-78.15,Villa Madrid
378,Barranca,PE,66.85,overcast clouds,-10.75,-77.77,El Olivar Hospedaje
391,Chupaca,PE,62.67,overcast clouds,-12.07,-75.28,HOSTAL CIELO - CHUPACA
393,Souillac,MU,70.0,clear sky,-20.52,57.52,Bils' Villa
397,Geraldton,AU,68.0,clear sky,-28.77,114.6,Broadwater Mariner Resort
404,Kibre Mengist,ET,61.75,light rain,5.88,38.98,Selam Ber Hotel (Tsehay Faris)
411,Toccoa,US,60.8,clear sky,34.58,-83.33,Quality Inn
414,Villazon,BO,53.96,scattered clouds,-22.09,-65.59,La Candelaria
424,Gualeguaychu,AR,61.0,overcast clouds,-33.01,-58.52,Hotel Los Angeles
425,Russell,US,55.4,overcast clouds,32.35,-85.2,Macs
429,Saint-Paul,RE,69.8,broken clouds,-21.01,55.27,Boucan Canot
430,San Rafael,AR,66.74,clear sky,-34.62,-68.33,Hotel San Rafael
432,Fiumicino,IT,66.99,clear sky,41.77,12.23,Al Porticciolo Hotel
441,Nordhorn,DE,59.0,overcast clouds,52.43,7.08,Hotel Am Stadtring
444,Balkanabat,TM,65.12,clear sky,39.51,54.37,Nebitchi Hotel
456,Necochea,AR,62.38,few clouds,-38.55,-58.74,dyd -mar Hotel
461,Burnie,AU,52.0,scattered clouds,-41.07,145.92,Beachfront Voyager Motor Inn
469,Flinders,AU,62.01,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
475,Santa Maria,BR,64.4,clear sky,-29.68,-53.81,Hotel Morotin
482,Roald,NO,51.01,light rain,62.58,6.13,Flem Cabins
484,Constitucion,CL,67.17,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
496,Mayskiy,RU,62.6,scattered clouds,47.69,40.1,Dio Lakrua
497,Paris,FR,60.8,overcast clouds,48.85,2.35,Citadines Saint-Germain-des-Prés Paris
500,Shimoda,JP,56.39,clear sky,34.67,138.95,Shimoda Tokyu Hotel
501,Takestan,IR,66.2,clear sky,36.07,49.7,baghdadi hotelهتل و رستوران بغدادی
507,Rastolita,RO,52.0,overcast clouds,46.97,24.99,Cabana Rastolita Iod
508,Kajiado,KE,64.4,broken clouds,-1.85,36.78,Masai Lodge
509,Goya,AR,69.64,clear sky,-29.14,-59.26,Apart Costanera
516,Pacasmayo,PE,65.28,overcast clouds,-7.4,-79.57,Hotel Libertad
517,Fukue,JP,64.02,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
518,La Palma,US,59.0,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
519,Te Anau,NZ,54.5,light rain,-45.42,167.72,Kingsgate Hotel Te Anau
526,Port Lincoln,AU,57.09,overcast clouds,-34.73,135.87,Port Lincoln Hotel
